RetainedRef	DuplicateRef
gene=BAP2	unassigned_transcript_298
gene=REV7	unassigned_transcript_2943
gene=FZF1	unassigned_transcript_2011
gene=NUP84	unassigned_transcript_853
gene=FUN12	unassigned_transcript_35
gene=ZIM17	unassigned_transcript_4992
gene=NCR1	unassigned_transcript_6256
gene=CIK1	unassigned_transcript_4829
gene=BNA3	unassigned_transcript_3303
gene=MLH1	unassigned_transcript_4793
gene=SMC6	unassigned_transcript_4368
gene=YML082W	unassigned_transcript_4506
gene=YHB1	unassigned_transcript_2537
gene=SAT4	unassigned_transcript_620
gene=SPB4	unassigned_transcript_1927
gene=CMI8	unassigned_transcript_1454
gene=MFG1	unassigned_transcript_741
gene=YIP5	unassigned_transcript_2105
gene=YMR247W-A	unassigned_transcript_4885
gene=FLO5	unassigned_transcript_2891
gene=MIC60	unassigned_transcript_3784
gene=YNL162W-A	unassigned_transcript_5134
gene=TRX2	unassigned_transcript_2511
gene=MRPS28	unassigned_transcript_1329
gene=XDJ1	unassigned_transcript_4033
gene=DSE3	unassigned_transcript_5837
gene=BOL1	unassigned_transcript_24
gene=YOL166W-A	unassigned_transcript_5389
gene=SWA2	unassigned_transcript_1311
gene=ITR2	unassigned_transcript_5457
gene=AST1	unassigned_transcript_147
gene=PHR1	unassigned_transcript_5962
gene=SDO1	unassigned_transcript_3965
gene=FRE6	unassigned_transcript_3893
gene=MPA43	unassigned_transcript_5056
gene=PIR5	unassigned_transcript_3198
gene=INO1	unassigned_transcript_3205
gene=PRM2	unassigned_transcript_3052
gene=EXG2	unassigned_transcript_1242
gene=CLB4	unassigned_transcript_4185
gene=ARO3	unassigned_transcript_1007
gene=TDA2	unassigned_transcript_1709
gene=CNS1	unassigned_transcript_386
gene=SEC59	unassigned_transcript_4614
gene=GTT3	unassigned_transcript_1604
gene=FIG2	unassigned_transcript_705
gene=NAB3	unassigned_transcript_6069
gene=TAT2	unassigned_transcript_5545
gene=TYE7	unassigned_transcript_5921
gene=PFD1	unassigned_transcript_3180
gene=LSM1	unassigned_transcript_3236
gene=RCI50	unassigned_transcript_3628
gene=YMR103C	unassigned_transcript_4721
gene=EFR3	unassigned_transcript_4844
gene=BRX1	unassigned_transcript_5485
gene=BUD23	unassigned_transcript_670
gene=ROQ1	unassigned_transcript_3214
gene=ASE1	unassigned_transcript_5628
gene=IMD2	unassigned_transcript_2903
gene=RHO5	unassigned_transcript_5120
gene=MLH3	unassigned_transcript_6096
gene=RRN9	unassigned_transcript_4907
gene=SEC63	unassigned_transcript_5828
gene=SDC1	unassigned_transcript_1461
gene=SOR2	unassigned_transcript_728
gene=UPS3	unassigned_transcript_1164
gene=MPD2	unassigned_transcript_5473
gene=ERO1	unassigned_transcript_4457
gene=DCD1	unassigned_transcript_2819
gene=MRPL51	unassigned_transcript_6362
gene=SAM3	unassigned_transcript_5981
gene=CWC22	unassigned_transcript_2579
gene=SNR79	unassigned_transcript_4049
gene=ISN1	unassigned_transcript_5727
gene=MUS81	unassigned_transcript_1385
gene=SEC2	unassigned_transcript_5034
gene=BUB1	unassigned_transcript_2488
gene=PRP16	unassigned_transcript_3856
gene=PEP5	unassigned_transcript_4864
gene=MRPS9	unassigned_transcript_377
gene=HAS1	unassigned_transcript_4930
gene=RAD51	unassigned_transcript_1739
gene=GLN3	unassigned_transcript_1671
gene=LEM3	unassigned_transcript_4980
gene=TOP3	unassigned_transcript_4211
gene=HAP5	unassigned_transcript_5935
gene=MRPL27	unassigned_transcript_518
gene=JAC1	unassigned_transcript_2251
gene=MLO50	unassigned_transcript_3994
gene=ERG13	unassigned_transcript_4461
gene=VIR1	unassigned_transcript_2233
gene=EDS1	unassigned_transcript_258
gene=POA1	unassigned_transcript_247
gene=OSH6	unassigned_transcript_3771
gene=PPX1	unassigned_transcript_2881
gene=KTR5	unassigned_transcript_5277
gene=AVO2	unassigned_transcript_4683
gene=SNR69	unassigned_transcript_3727
gene=CTM1	unassigned_transcript_2778
gene=PDC1	unassigned_transcript_3989
gene=YHR139C-A	unassigned_transcript_2812
gene=LMO1	unassigned_transcript_3935
gene=ERP1	unassigned_transcript_73
gene=YGR121W-A	unassigned_transcript_2408
gene=PAC1	unassigned_transcript_5842
gene=SSK22	unassigned_transcript_690
gene=URA10	unassigned_transcript_4908
gene=PCL9	unassigned_transcript_793
gene=YME1	unassigned_transcript_6289
gene=CMD1	unassigned_transcript_342
unassigned_transcript_1942	unassigned_transcript_1965
unassigned_transcript_1942	unassigned_transcript_3321
unassigned_transcript_1942	unassigned_transcript_3430
unassigned_transcript_1942	unassigned_transcript_4540
unassigned_transcript_1942	unassigned_transcript_4923
unassigned_transcript_1942	unassigned_transcript_5546
gene=PHO80	unassigned_transcript_5567
gene=YKE2	unassigned_transcript_4176
gene=RPL3	unassigned_transcript_5634
gene=OAC1	unassigned_transcript_3640
gene=YLR342W-A	unassigned_transcript_4325
gene=YOL024W	unassigned_transcript_5540
gene=YHR214C-E	unassigned_transcript_2901
gene=CIT3	unassigned_transcript_6262
gene=GAB1	unassigned_transcript_4447
gene=ICL2	unassigned_transcript_6268
gene=YJL070C	unassigned_transcript_3294
gene=MOT3	unassigned_transcript_4685
gene=SHE4	unassigned_transcript_5607
gene=RPB2	unassigned_transcript_5723
gene=CBP6	unassigned_transcript_352
gene=HIT1	unassigned_transcript_3427
gene=CTF3	unassigned_transcript_4366
gene=YER121W	unassigned_transcript_1764
gene=TOM40	unassigned_transcript_4835
gene=INO2	unassigned_transcript_1101
gene=YHR214W	unassigned_transcript_2896
gene=TOS8	unassigned_transcript_2170
gene=MAL32	unassigned_transcript_537
gene=SAL1	unassigned_transcript_5215
gene=SMU2	unassigned_transcript_2921
gene=UBP11	unassigned_transcript_3869
gene=RAD6	unassigned_transcript_2209
gene=PEX28	unassigned_transcript_2825
gene=CPP1	unassigned_transcript_240
gene=SEM1	unassigned_transcript_1356
gene=BDP1	unassigned_transcript_5264
gene=SOP4	unassigned_transcript_3169
gene=UBA1	unassigned_transcript_3553
gene=YJR096W	unassigned_transcript_3469
gene=VRG4	unassigned_transcript_2042
unassigned_transcript_2594	unassigned_transcript_5972
gene=YPQ1	unassigned_transcript_5469
unassigned_transcript_3843	unassigned_transcript_4362
unassigned_transcript_3843	unassigned_transcript_6382
gene=SEC18	unassigned_transcript_311
gene=SDH1	unassigned_transcript_3614
gene=RCO1	unassigned_transcript_4690
gene=RDN5-1	unassigned_transcript_4110
gene=HXT14	unassigned_transcript_4984
gene=YBR053C	unassigned_transcript_280
gene=PGK1	unassigned_transcript_624
gene=CBF2	unassigned_transcript_2427
gene=TRR4	unassigned_transcript_4327
gene=GEP3	unassigned_transcript_5780
gene=TPO3	unassigned_transcript_6422
gene=MNS1	unassigned_transcript_3507
gene=HOT1	unassigned_transcript_4798
gene=EST2	unassigned_transcript_4298
gene=PIP2	unassigned_transcript_5940
unassigned_transcript_2716	unassigned_transcript_2720
gene=NTH2	unassigned_transcript_222
gene=MRPL38	unassigned_transcript_3593
gene=DBP5	unassigned_transcript_5619
gene=ATP4	unassigned_transcript_6183
gene=SDH2	unassigned_transcript_3901
gene=SYT1	unassigned_transcript_6357
gene=ZRG8	unassigned_transcript_1662
gene=DPM1	unassigned_transcript_6458
gene=CEF1	unassigned_transcript_4845
gene=PFS1	unassigned_transcript_2863
gene=RPA34	unassigned_transcript_3210
gene=LDB16	unassigned_transcript_605
gene=GSY2	unassigned_transcript_4236
gene=RDT1	unassigned_transcript_557
gene=SPS1	unassigned_transcript_1513
gene=BEM2	unassigned_transcript_1810
gene=HXT1	unassigned_transcript_2764
gene=YML108W	unassigned_transcript_4480
gene=YNCE0005W	unassigned_transcript_1584
gene=MCH4	unassigned_transcript_5437
gene=HNT3	unassigned_transcript_5832
gene=TFG1	unassigned_transcript_2486
gene=SPT4	unassigned_transcript_2345
gene=RPS28A	unassigned_transcript_5740
gene=CWH41	unassigned_transcript_2243
gene=DSE4	unassigned_transcript_5377
gene=RRT12	unassigned_transcript_668
gene=TRS120	unassigned_transcript_1405
gene=YAR035C-A	unassigned_transcript_94
gene=IES5	unassigned_transcript_1735
gene=MIC27	unassigned_transcript_5197
gene=ADH5	unassigned_transcript_376
gene=LSG1	unassigned_transcript_2165
gene=RPO41	unassigned_transcript_1886
gene=TWF1	unassigned_transcript_2359
gene=ALK1	unassigned_transcript_2248
gene=TIM10	unassigned_transcript_2658
gene=SHU2	unassigned_transcript_1051
gene=SUT125	unassigned_transcript_2366
gene=PAU21	unassigned_transcript_5969
gene=PAU21	gene=PAU22
gene=PAU21	unassigned_transcript_5973
gene=TIM9	unassigned_transcript_1598
gene=HYR1	unassigned_transcript_3135
gene=STF2	unassigned_transcript_2278
gene=PDR16	unassigned_transcript_5073
gene=UBX6	unassigned_transcript_3316
gene=YEH2	unassigned_transcript_3963
gene=CDD1	unassigned_transcript_4221
gene=PAL1	unassigned_transcript_1340
gene=STE4	unassigned_transcript_5787
gene=STL1	unassigned_transcript_1528
gene=OSW1	unassigned_transcript_5829
gene=SEC15	unassigned_transcript_2032
gene=SUP19	unassigned_transcript_1703
gene=SUP19	gene=SUP17
gene=SUP19	unassigned_transcript_3031
gene=SCD5	unassigned_transcript_5904
gene=AAD15	unassigned_transcript_5390
gene=SDD4	unassigned_transcript_6287
gene=AQY1	unassigned_transcript_6467
gene=KAP95	unassigned_transcript_4331
gene=YOR029W	unassigned_transcript_5599
gene=GUF1	unassigned_transcript_4268
gene=YOR011W-A	unassigned_transcript_5582
gene=SSA2	unassigned_transcript_3918
gene=ILS1	unassigned_transcript_139
gene=ATP14	unassigned_transcript_4273
gene=FPK1	unassigned_transcript_5354
gene=YLR177W	unassigned_transcript_4155
gene=YLR108C	unassigned_transcript_4053
gene=ALG6	unassigned_transcript_5569
gene=CDC55	unassigned_transcript_2078
gene=YDR209C	unassigned_transcript_1185
gene=PHO13	unassigned_transcript_738
gene=GPX1	unassigned_transcript_3739
gene=THI80	unassigned_transcript_5716
gene=PDP3	unassigned_transcript_4444
gene=GSF2	unassigned_transcript_4546
gene=ATR2	unassigned_transcript_4918
gene=PAA1	unassigned_transcript_1044
gene=ANR2	unassigned_transcript_3718
gene=KNS1	unassigned_transcript_3922
gene=ARL1	unassigned_transcript_396
gene=YOL162W	unassigned_transcript_5394
gene=ECM21	unassigned_transcript_113
gene=NUP170	unassigned_transcript_137
gene=ARR3	unassigned_transcript_6475
gene=SNU56	unassigned_transcript_1221
gene=RSC30	unassigned_transcript_2722
gene=SPC105	unassigned_transcript_2174
gene=SSN3	unassigned_transcript_6221
gene=SMD1	unassigned_transcript_2353
gene=CKI1	unassigned_transcript_4077
gene=LDB17	unassigned_transcript_822
gene=SSL2	unassigned_transcript_2940
gene=CPA2	unassigned_transcript_3484
gene=PBI1	unassigned_transcript_5983
gene=THP1	unassigned_transcript_5489
gene=RSM10	unassigned_transcript_1013
gene=CDA2	unassigned_transcript_4289
gene=SNR43	unassigned_transcript_604
gene=PUF4	unassigned_transcript_2255
gene=MRT4	unassigned_transcript_3758
gene=DRS1	unassigned_transcript_3934
gene=NEW1	unassigned_transcript_6034
gene=DCS2	unassigned_transcript_5744
gene=YKL222C	unassigned_transcript_3540
gene=NFI1	unassigned_transcript_5728
gene=VPS35	unassigned_transcript_3204
gene=SEC3	unassigned_transcript_1633
gene=YPR195C	unassigned_transcript_6470
gene=MRE11	unassigned_transcript_4856
gene=RRT1	unassigned_transcript_166
gene=YLL032C	unassigned_transcript_3909
gene=IME2	unassigned_transcript_3255
gene=SYN8	unassigned_transcript_58
gene=ALG12	unassigned_transcript_5336
gene=ATP10	unassigned_transcript_4379
gene=ARF2	unassigned_transcript_831
gene=NPR1	unassigned_transcript_5117
gene=YAE1	unassigned_transcript_3441
gene=ATG41	unassigned_transcript_6009
gene=HPA3	unassigned_transcript_1546
gene=VBA4	unassigned_transcript_1096
gene=SAM1	unassigned_transcript_4158
gene=ARP7	unassigned_transcript_6300
gene=RGD3	unassigned_transcript_2860
gene=YML003W	unassigned_transcript_4596
gene=SIM1	unassigned_transcript_2961
gene=NIP1	unassigned_transcript_4949
gene=YDJ1	unassigned_transcript_5235
gene=YLR358C	unassigned_transcript_4341
gene=WTM1	unassigned_transcript_5804
gene=SNR62	unassigned_transcript_5615
gene=SNU23	unassigned_transcript_871
gene=SEN1	unassigned_transcript_4419
gene=VPS20	unassigned_transcript_4694
gene=MSO1	unassigned_transcript_5356
gene=MRX9	unassigned_transcript_936
gene=PEX32	unassigned_transcript_400
gene=YPS3	unassigned_transcript_4067
gene=BDF1	unassigned_transcript_4385
gene=SPT16	unassigned_transcript_2057
gene=ACS2	unassigned_transcript_4098
gene=DFG5	unassigned_transcript_4871
gene=RTC1	unassigned_transcript_5419
gene=FAS2	unassigned_transcript_6029
gene=WWM1	unassigned_transcript_1915
gene=PIR3	unassigned_transcript_3600
gene=PHO23	unassigned_transcript_5201
gene=YER134C	unassigned_transcript_1781
gene=RPS26A	unassigned_transcript_2079
gene=FUB1	unassigned_transcript_694
gene=RAD34	unassigned_transcript_1301
gene=CRC1	unassigned_transcript_5672
gene=YDL007C-A	unassigned_transcript_955
gene=OPY2	unassigned_transcript_6339
gene=SEC6	unassigned_transcript_3020
gene=GEM1	unassigned_transcript_21
gene=MRPL31	unassigned_transcript_3624
gene=PTK1	unassigned_transcript_3563
gene=OPI3	unassigned_transcript_3446
gene=YKL096C-B	unassigned_transcript_3664
gene=RFM1	unassigned_transcript_5854
gene=DYS1	unassigned_transcript_2734
gene=YIL105W-A	unassigned_transcript_2980
gene=YNCE0004C	unassigned_transcript_1567
gene=RRP45	unassigned_transcript_1267
gene=YJR056C	unassigned_transcript_3429
gene=SDS3	unassigned_transcript_3004
gene=GAP1	unassigned_transcript_3808
gene=LHP1	unassigned_transcript_916
gene=VPS62	unassigned_transcript_2428
gene=LFT1	unassigned_transcript_4561
gene=SCM3	unassigned_transcript_829
gene=GSY1	unassigned_transcript_1947
gene=YNL067W-B	unassigned_transcript_5231
gene=HAL5	unassigned_transcript_3192
gene=PDC5	unassigned_transcript_4078
gene=GRX3	unassigned_transcript_1071
gene=REB1	unassigned_transcript_277
gene=UAF30	unassigned_transcript_5871
gene=AZR1	unassigned_transcript_2528
gene=OKP1	unassigned_transcript_2479
gene=YOR192C-C	unassigned_transcript_5766
gene=ERP3	unassigned_transcript_945
gene=STT4	unassigned_transcript_4285
gene=YFR018C	unassigned_transcript_1951
gene=PLC1	unassigned_transcript_5987
gene=YKL104W-A	unassigned_transcript_3656
gene=COA6	unassigned_transcript_4880
gene=SPC97	unassigned_transcript_2848
gene=RPP0	unassigned_transcript_4322
gene=SWF1	unassigned_transcript_1104
gene=FLR1	unassigned_transcript_229
gene=YHR020W	unassigned_transcript_2677
gene=YNCH0010C	gene=YNCP0011C
gene=SOH1	unassigned_transcript_2138
gene=FIT3	unassigned_transcript_5959
gene=PTC4	unassigned_transcript_356
gene=SKT5	unassigned_transcript_153
gene=UBC1	unassigned_transcript_1154
gene=EMC4	unassigned_transcript_2034
gene=ARX1	unassigned_transcript_1078
gene=KRE33	unassigned_transcript_5168
gene=CIN1	unassigned_transcript_5926
gene=STF1	unassigned_transcript_839
gene=RPC53	unassigned_transcript_818
gene=ECM27	unassigned_transcript_3480
gene=TIM17	unassigned_transcript_3215
gene=SAN1	unassigned_transcript_1119
gene=CDC27	unassigned_transcript_133
gene=CYK3	unassigned_transcript_852
gene=RNH1	unassigned_transcript_4867
gene=RSP5	unassigned_transcript_1768
gene=OTU1	unassigned_transcript_1877
gene=YLR146W-A	unassigned_transcript_4091
gene=RIM20	unassigned_transcript_5849
gene=SWC3	unassigned_transcript_61
gene=GCD11	unassigned_transcript_1653
gene=ECM5	unassigned_transcript_4803
gene=RFA3	unassigned_transcript_3185
gene=SRT1	unassigned_transcript_4719
gene=MAM1	unassigned_transcript_1750
gene=RRT5	unassigned_transcript_1971
gene=PYC2	unassigned_transcript_453
gene=VTS1	unassigned_transcript_5936
gene=TVP38	unassigned_transcript_3858
gene=PCL10	unassigned_transcript_2132
gene=RFA1	unassigned_transcript_75
gene=CAB2	unassigned_transcript_3005
gene=STE5	unassigned_transcript_1080
gene=YCR024C-B	unassigned_transcript_642
gene=RNR1	unassigned_transcript_1708
gene=SLS1	unassigned_transcript_4083
gene=IPI1	unassigned_transcript_2754
gene=PEX15	unassigned_transcript_5519
gene=RPO31	unassigned_transcript_5687
gene=PIL1	unassigned_transcript_2365
gene=MTG1	unassigned_transcript_4714
gene=POM33	unassigned_transcript_3919
gene=PRE6	unassigned_transcript_5526
gene=GPI1	unassigned_transcript_2518
gene=YFR035W-A	unassigned_transcript_1977
gene=YHL049C	unassigned_transcript_2596
gene=YBR071W	unassigned_transcript_302
gene=YBR085C-A	unassigned_transcript_320
gene=HYP2	unassigned_transcript_1582
gene=DSL1	unassigned_transcript_5047
gene=CYC2	unassigned_transcript_5609
gene=SET5	unassigned_transcript_2887
gene=PRR1	unassigned_transcript_3644
gene=YNCH0004C	unassigned_transcript_2670
gene=YNCH0004C	gene=YNCA0006C
gene=YNCH0004C	unassigned_transcript_87
gene=YNCH0004C	gene=YNCJ0023C
gene=YNCH0004C	unassigned_transcript_3416
gene=YNCH0004C	gene=YNCL0002C
gene=YNCH0004C	unassigned_transcript_3953
gene=RKM5	unassigned_transcript_4081
gene=YNL115C	unassigned_transcript_5185
gene=MPH1	unassigned_transcript_3095
gene=PRP11	unassigned_transcript_924
gene=SDH4	unassigned_transcript_1155
gene=NAN1	unassigned_transcript_6134
gene=ERG25	unassigned_transcript_2342
gene=IPA1	unassigned_transcript_3518
gene=ECM34	unassigned_transcript_2603
gene=YTP1	unassigned_transcript_5068
gene=YNCC0008W	unassigned_transcript_632
gene=YNCC0008W	gene=IMT2
gene=YNCC0008W	unassigned_transcript_6149
gene=MMS22	unassigned_transcript_4300
gene=YML119W	unassigned_transcript_4469
gene=HRT1	unassigned_transcript_5423
gene=PKP1	unassigned_transcript_3047
gene=RAS2	unassigned_transcript_5199
gene=RPH1	unassigned_transcript_1828
gene=TGL2	unassigned_transcript_1029
gene=KRR1	unassigned_transcript_550
gene=DED81	unassigned_transcript_2676
gene=DUG1	unassigned_transcript_1987
gene=UBC7	unassigned_transcript_4630
gene=HHT2	unassigned_transcript_5275
gene=SNO3	unassigned_transcript_1862
gene=AIF1	unassigned_transcript_5384
gene=YNCL0035C	unassigned_transcript_4234
gene=CAR2	unassigned_transcript_4426
gene=YIL089W	unassigned_transcript_2998
gene=TOM22	unassigned_transcript_5169
gene=SDD3	unassigned_transcript_5461
gene=HPT1	unassigned_transcript_1398
gene=PTC1	unassigned_transcript_958
gene=YGR240C-A	unassigned_transcript_2544
gene=YNL320W	unassigned_transcript_4983
unassigned_transcript_4108	unassigned_transcript_4118
gene=MSN1	unassigned_transcript_5440
gene=MMT1	unassigned_transcript_4804
gene=ORC5	unassigned_transcript_5044
gene=BRE2	unassigned_transcript_3958
gene=STV1	unassigned_transcript_4670
gene=UGX2	unassigned_transcript_802
gene=YOL097W-A	unassigned_transcript_5463
gene=YPR015C	unassigned_transcript_6280
gene=CAJ1	unassigned_transcript_1680
gene=SWI4	unassigned_transcript_1754
gene=SAK1	unassigned_transcript_1772
gene=MET3	unassigned_transcript_3380
gene=YOR376W-A	unassigned_transcript_5952
gene=PRM1	unassigned_transcript_5027
gene=YCL068C	unassigned_transcript_544
gene=YCP4	unassigned_transcript_614
gene=UBR1	unassigned_transcript_2484
gene=SNC2	unassigned_transcript_5902
gene=SOL3	unassigned_transcript_2839
